startup_name,domain,funding_amount,equity_offered,founders,stage,country,season,deal_status,investor
InnoHub_0,Fashion,,unknown,Unknown,Series B,,,Funded,Namita
CloudLink_1,logistics,9839725,,3 founders,Angel,USA,6,No Deal,Lori
GreenHub_2,Agri,,,2 founders,Series C,uae,7,Partially Funded,Barbara
UrbanBridge_3,AI,,,2 founders,Seed,uae,3,Funded,Peyush
BrightMart_4,Tech,,unknown,3 founders,Series C,uae,5,Offer Withdrawn,Peyush
MetaSolutions_5,Tech,,4.61%,4 founders,Bootstrapped,india,6,Funded,Barbara
SmartNest_6,fashion,,unknown,2 founders,Pre-Seed,india,,Funded,Namita
FreshNest_7,fintech,,,2 founders,Series A,india,,Funded,
NextGrow_8,ai,,49.58%,3 founders,Seed,India,1,Funded,Aman
NextBridge_9,,,48.04%,,Pre-Seed,India,5,Partially Funded,
NextNest_10,AI,,,,Pre-Seed,canada,7,Offer Withdrawn,Namita
NextHive_11,Tech,,,Unknown,Series B,india,,Offer Withdrawn,Ashneer
BrightPulse_12,fintech,,,4 founders,Series B,canada,,,Barbara
BrightNest_13,Tech,,48.71%,4 founders,,usa,,,Anupam
FoodSolutions_14,Food,,,4 founders,Angel,usa,,Funded,Vineeta
FreshSystems_15,health,,15.49%,4 founders,Series B,India,6,,Aman
FoodLink_16,fashion,,unknown,1 founder,,canada,6,Partially Funded,Kevin
UrbanKart_17,travel,,25.97%,2 founders,Angel,,,Offer Withdrawn,Peyush
QuantumBridge_18,fintech,,38.20%,2 founders,Series A,,6,Partially Funded,
EduSpark_19,Agri,,unknown,Unknown,Pre-Seed,Canada,,,
GreenSystems_20,fashion,,unknown,1 founder,,canada,3,Funded,Ashneer
MetaCore_21,fintech,,unknown,4 founders,Series A,India,,Rejected,Vineeta
QuantumMart_22,fintech,,,,,canada,,Offer Withdrawn,Ashneer
CloudKart_23,travel,31867562,unknown,3 founders,Series A,USA,7,,Anupam
FinPulse_24,agri,,,2 founders,Series B,UAE,1,No Deal,Aman
FinKart_25,tech,98645015,,Unknown,Series C,USA,,Funded,Peyush
SmartWave_26,Logistics,,,4 founders,,USA,3,No Deal,Mark
InnoFoods_27,Logistics,,29.68%,,Seed,,7,Rejected,Namita
UrbanSpark_28,edtech,,38.79%,1 founder,Angel,uae,6,Offer Withdrawn,Kevin
CloudPulse_29,edtech,,unknown,,Series B,canada,2,Offer Withdrawn,Barbara
MetaSolutions_30,fintech,,47.35%,,Series B,UAE,3,Offer Withdrawn,Aman
DataHive_31,agri,72527144,3.28%,3 founders,Seed,,4,Funded,Vineeta
QuantumSpark_32,AI,,,3 founders,Series C,UAE,1,No Deal,Peyush
HealthSolutions_33,tech,,39.86%,Unknown,,india,,Offer Withdrawn,Anupam
AISystems_34,agri,78215259,,4 founders,Angel,,5,No Deal,Kevin
FreshSpark_35,ai,,,2 founders,Series C,usa,6,Offer Withdrawn,Anupam
QuantumHub_36,fintech,,unknown,1 founder,Series A,UAE,7,Funded,Lori
InnoKart_37,health,,16.29%,1 founder,,uk,6,,Vineeta
InnoWorks_38,agri,,,Unknown,Series B,Canada,4,,Peyush
GreenSolutions_39,Tech,34250762,11.39%,3 founders,Seed,UAE,,No Deal,Mark
CloudBox_40,FinTech,,,,,,1,Partially Funded,Anupam
