startup_name,domain,funding_amount,equity_offered,founders,stage,country,season,deal_status,investor
InnoHub_0,Fashion,49114685,7.295,2,Series B,Unknown,2,Funded,Namita
CloudLink_1,logistics,9839725,7.295,3,Angel,USA,6,No Deal,Lori
GreenHub_2,Agri,49114685,7.295,2,Series C,UAE,7,Partially Funded,Barbara
UrbanBridge_3,AI,49114685,7.295,2,Seed,UAE,3,Funded,Peyush
BrightMart_4,Tech,49114685,7.295,3,Series C,UAE,5,Offer Withdrawn,Peyush
MetaSolutions_5,Tech,49114685,4.61,4,Bootstrapped,India,6,Funded,Barbara
SmartNest_6,fashion,49114685,7.295,2,Unknown,India,2,Funded,Namita
FreshNest_7,fintech,49114685,7.295,2,Series A,India,2,Funded,Unknown
NextGrow_8,ai,49114685,49.58,3,Seed,India,1,Funded,Aman
NextBridge_9,Unknown,49114685,48.04,2,Unknown,India,5,Partially Funded,Unknown
NextNest_10,AI,49114685,7.295,2,Unknown,Canada,7,Offer Withdrawn,Namita
NextHive_11,Tech,49114685,7.295,2,Series B,India,2,Offer Withdrawn,Ashneer
BrightPulse_12,fintech,49114685,7.295,4,Series B,Canada,2,Unknown,Barbara
BrightNest_13,Tech,49114685,48.71,4,Unknown,USA,2,Unknown,Anupam
FoodSolutions_14,Food,49114685,7.295,4,Angel,USA,2,Funded,Vineeta
FreshSystems_15,health,49114685,15.49,4,Series B,India,6,Unknown,Aman
FoodLink_16,fashion,49114685,7.295,1,Unknown,Canada,6,Partially Funded,Kevin
UrbanKart_17,travel,49114685,25.97,2,Angel,Unknown,2,Offer Withdrawn,Peyush
QuantumBridge_18,fintech,49114685,38.2,2,Series A,Unknown,6,Partially Funded,Unknown
EduSpark_19,Agri,49114685,7.295,2,Unknown,Canada,2,Unknown,Unknown
GreenSystems_20,fashion,49114685,7.295,1,Unknown,Canada,3,Funded,Ashneer
MetaCore_21,fintech,49114685,0,4,Series A,India,2,Rejected,Vineeta
QuantumMart_22,fintech,49114685,7.295,2,Unknown,Canada,2,Offer Withdrawn,Ashneer
CloudKart_23,travel,31867562,7.295,3,Series A,USA,7,Unknown,Anupam
FinPulse_24,agri,49114685,7.295,2,Series B,UAE,1,No Deal,Aman
FinKart_25,tech,98645015,7.295,2,Series C,USA,2,Funded,Peyush
SmartWave_26,Logistics,49114685,7.295,4,Unknown,USA,3,No Deal,Mark
InnoFoods_27,Logistics,49114685,0,2,Seed,Unknown,7,Rejected,Namita
UrbanSpark_28,edtech,49114685,38.79,1,Angel,UAE,6,Offer Withdrawn,Kevin
CloudPulse_29,edtech,49114685,7.295,2,Series B,Canada,2,Offer Withdrawn,Barbara
MetaSolutions_30,fintech,49114685,47.35,2,Series B,UAE,3,Offer Withdrawn,Aman
DataHive_31,agri,72527144,3.28,3,Seed,Unknown,4,Funded,Vineeta
QuantumSpark_32,AI,49114685,7.295,3,Series C,UAE,1,No Deal,Peyush
HealthSolutions_33,tech,49114685,39.86,2,Unknown,India,2,Offer Withdrawn,Anupam
AISystems_34,agri,78215259,7.295,4,Angel,Unknown,5,No Deal,Kevin
